name;cat1;cat2;cat3;arw_brand;sku;barcode;color;size;qty;price;spetial_price;description;material;img1;img2;img3;img4
Белье;Мужчинам;Одежда;Нижнее белье и одежда для дома;PHILIPP PLEIN;FW16HM732793;2000000077543;Белый;L;1;2100;2100;;Коттон, модал;FW16HM732793_PHILIPPPLEIN_belje_belyj_1.JPG;FW16HM732793_PHILIPPPLEIN_belje_belyj_2.JPG;FW16HM732793_PHILIPPPLEIN_belje_belyj_3.JPG;
Белье;Мужчинам;Одежда;Нижнее белье и одежда для дома;PHILIPP PLEIN;FW16HM732793;2000000077529;Белый;XL;1;2100;2100;;Коттон, модал;FW16HM732793_PHILIPPPLEIN_belje_belyj_1.JPG;FW16HM732793_PHILIPPPLEIN_belje_belyj_2.JPG;FW16HM732793_PHILIPPPLEIN_belje_belyj_3.JPG;
Белье;Мужчинам;Одежда;Нижнее белье и одежда для дома;PHILIPP PLEIN;FW16HM732793;2000000077512;Белый;XXL;1;2100;2100;;Коттон, модал;FW16HM732793_PHILIPPPLEIN_belje_belyj_1.JPG;FW16HM732793_PHILIPPPLEIN_belje_belyj_2.JPG;FW16HM732793_PHILIPPPLEIN_belje_belyj_3.JPG;
Белье;Мужчинам;Одежда;Нижнее белье и одежда для дома;PHILIPP PLEIN;FW16HM733417;2000000077581;Мульти;L;1;2100;2100;;Коттон, модал;FW16HM733417_PHILIPPPLEIN_belje_belyjchernyj_1.JPG;FW16HM733417_PHILIPPPLEIN_belje_belyjchernyj_2.JPG;FW16HM733417_PHILIPPPLEIN_belje_belyjchernyj_3.JPG;
Белье;Мужчинам;Одежда;Нижнее белье и одежда для дома;PHILIPP PLEIN;FW16HM733417;2000000077567;Мульти;XL;1;2100;2100;;Коттон, модал;FW16HM733417_PHILIPPPLEIN_belje_belyjchernyj_1.JPG;FW16HM733417_PHILIPPPLEIN_belje_belyjchernyj_2.JPG;FW16HM733417_PHILIPPPLEIN_belje_belyjchernyj_3.JPG;
Белье;Мужчинам;Одежда;Нижнее белье и одежда для дома;PHILIPP PLEIN;FW16HM733417;2000000077550;Мульти;XXL;1;2100;2100;;Коттон, модал;FW16HM733417_PHILIPPPLEIN_belje_belyjchernyj_1.JPG;FW16HM733417_PHILIPPPLEIN_belje_belyjchernyj_2.JPG;FW16HM733417_PHILIPPPLEIN_belje_belyjchernyj_3.JPG;
Белье;Мужчинам;Одежда;Нижнее белье и одежда для дома;PHILIPP PLEIN;FW16HM743331;2000000077703;Белый;L;1;2600;2600;;Коттон, модал;FW16HM743331_PHILIPPPLEIN_belje_belyj_1.JPG;FW16HM743331_PHILIPPPLEIN_belje_belyj_2.JPG;FW16HM743331_PHILIPPPLEIN_belje_belyj_3.JPG;
Белье;Мужчинам;Одежда;Нижнее белье и одежда для дома;PHILIPP PLEIN;FW16HM743331;2000000077680;Белый;XL;1;2600;2600;;Коттон, модал;FW16HM743331_PHILIPPPLEIN_belje_belyj_1.JPG;FW16HM743331_PHILIPPPLEIN_belje_belyj_2.JPG;FW16HM743331_PHILIPPPLEIN_belje_belyj_3.JPG;
Белье;Мужчинам;Одежда;Нижнее белье и одежда для дома;PHILIPP PLEIN;FW16HM743331;2000000077673;Белый;XXL;1;2600;2600;;Коттон, модал;FW16HM743331_PHILIPPPLEIN_belje_belyj_1.JPG;FW16HM743331_PHILIPPPLEIN_belje_belyj_2.JPG;FW16HM743331_PHILIPPPLEIN_belje_belyj_3.JPG;
Белье;Мужчинам;Одежда;Нижнее белье и одежда для дома;PHILIPP PLEIN;FW16HM743331;2000000077666;Темно-синий;L;3;2600;2600;;Коттон, модал;FW16HM743331_PHILIPPPLEIN_belje_temnosinij_1.JPG;FW16HM743331_PHILIPPPLEIN_belje_temnosinij_2.JPG;FW16HM743331_PHILIPPPLEIN_belje_temnosinij_3.JPG;
