ID,barcode,sku,product_name,size,qty,price,provider_price,discount,special_price,purchase_price,brand,path,gender,date_of_photo,comment,country_of_manufacture,name,color,category,subcategory,date_of_photo_edit,content_date,provider,consistence,sale_id
,2967470286304,E1DB4610521B,"Кофта спорт.сіра колір 495 бавовна, еластан E1DB4610521B Dirk Bikkembergs XXL(р)",XXL,1,7400,2960,"60,35%",2934,2257,Dirk Bikkembergs,,муж,01.07.2015,,,Кофта,Серый,Одежда,Блузы и свитера,,,OGOD,,258
,2967470288575,E1DM8010433B,Светр сірий колір 495 100% бавовна E1DM8010433B Dirk Bikkembergs XXL(р),XXL,1,10400,4160,"60,35%",4124,3172,Dirk Bikkembergs,,муж,01.07.2015,,,Свитер,Серый,Одежда,Блузы и свитера,,,OGOD,,258
,2967470288582,E1DM8010433B,Светр сірий колір 495 100% бавовна E1DM8010433B Dirk Bikkembergs XXXL(р),XXXL,1,10400,4160,"60,35%",4124,3172,Dirk Bikkembergs,,муж,01.07.2015,,,Свитер,Серый,Одежда,Блузы и свитера,,,OGOD,,258
7328,2967470288711,E1DM8000433B,Светр сірий колір 495 100% бавовна E1DM8000433B Dirk Bikkembergs XL(р),XL,1,10400,3120,"70,37%",3082,2371,Dirk Bikkembergs,,муж,01.07.2015,,,Свитер,Серый,Одежда,Блузы и свитера,,,OGOD,,258
,2967470288520,E1DM8010433B,Светр т-синій колір 665 100% бавовна E1DM8010433B Dirk Bikkembergs XXL(р),XXL,1,10400,4160,"60,35%",4124,3172,Dirk Bikkembergs,,муж,01.07.2015,,,Свитер,Темно-синий,Одежда,Блузы и свитера,,,OGOD,,258
7361,2967470288599,E1DM8010433B,Светр чорн.колір 999 100% бавовна E1DM8010433B Dirk Bikkembergs L(р),L,1,10400,4160,"60,35%",4124,3172,Dirk Bikkembergs,,муж,01.07.2015,,,Свитер,Черный,Одежда,Блузы и свитера,,07.07.2015,OGOD,,258
7361,2967470288605,E1DM8010433B,Светр чорн.колір 999 100% бавовна E1DM8010433B Dirk Bikkembergs M(р),M,1,10400,4160,"60,35%",4124,3172,Dirk Bikkembergs,,муж,01.07.2015,,,Свитер,Черный,Одежда,Блузы и свитера,,,OGOD,,258
7361,2967470288612,E1DM8010433B,Светр чорн.колір 999 100% бавовна E1DM8010433B Dirk Bikkembergs XL(р),XL,1,10400,4160,"60,35%",4124,3172,Dirk Bikkembergs,,муж,01.07.2015,,,Свитер,Черный,Одежда,Блузы и свитера,,,OGOD,,258
7361,2967470288629,E1DM8010433B,Светр чорн.колір 999 100% бавовна E1DM8010433B Dirk Bikkembergs XXL(р),XXL,1,10400,4160,"60,35%",4124,3172,Dirk Bikkembergs,,муж,01.07.2015,,,Свитер,Черный,Одежда,Блузы и свитера,,,OGOD,,258
,2967470267051,E1DM6070250B,Сорочка біла колір 800 100% бавовна E1DM6070250B Dirk Bikkembergs XXXL(р),XXXL,1,7750,2325,"70,36%",2297,1767,Dirk Bikkembergs,,муж,01.07.2015,,,Рубашка,Белый,Одежда,Рубашки,,,OGOD,,258
