sku;barcode;supplier_product_name;cat1;cat2;cat3;product_name;size;quantity;purchase_price;retail_price;top_price;special_price;discount;brand;gender;color;material;description;img1;img2;img3;img4;img5;img6;comment_admin;comment_frontend;country_manufacturer
AAAAAZZ124124;2000051895115151;Сорочка;Мужчинам;Вещи;Блузы и свитера;Кофта;XL;1;2257;2960;7400;5600;76%;Dirk Bikkembergs;Мужчины;Синий;Бабовна 100%;Описание 123;/images/sale/dirk1.png;/images/sale/dirk2.png;/images/sale/dirk3.png;/images/sale/dirk4.png;/images/sale/dirk5.png;/images/sale/dirk6.png;Новый товар от Onegroup;Доставка не осуществляется по Украине;Италия
AAAZZZZ124124;2000051895115151;Сорочка;Мужчинам;Одежда;Блузы и свитера;Кофта;XL;1;2257;2960;7400;5600;76%;Dirk Bikkembergs;Мужчины;Синий;Бабовна 100%;Описание 123;/images/sale/dirk1.png;/images/sale/dirk2.png;/images/sale/dirk3.png;/images/sale/dirk4.png;/images/sale/dirk5.png;/images/sale/dirk6.png;Новый товар от Onegroup;Доставка не осуществляется по Украине;Италия
AAAZZZZ124124;2000051895115151;Сорочка;Женщинам;Одежда;Блузы и свитера;Кофта;XL;1;2257;2960;7400;5600;76%;Dirk Bikkembergs;Мужчины;Синий;Бабовна 100%;Описание 123;/images/sale/dirk1.png;/images/sale/dirk2.png;/images/sale/dirk3.png;/images/sale/dirk4.png;/images/sale/dirk5.png;/images/sale/dirk6.png;Новый товар от Onegroup;Доставка не осуществляется по Украине;Италия
AAAAAZZ124124;2000051895515151;Имя;Женщинам;Одежда;Блузы и свитера;Кофта;XL;1;2257;2960;7400;5600;76%;Dirk Bikkembergs;Мужчины;Синий;Бабовна 100%;Описание 123;/images/sale/dirk1.png;/images/sale/dirk2.png;/images/sale/dirk3.png;/images/sale/dirk4.png;/images/sale/dirk5.png;/images/sale/dirk6.png;Новый товар от Onegroup;Доставка не осуществляется по Украине;Италия
AAAAAZZ124124;2000051811515151;Сорочка;Мужчинам;Одежда;Блузы и свитера;Кофта;XL;1;2257;2960;7400;5600;76%;Dirk Bikkembergs;Мужчины;Синий;Бабовна 100%;Описание 123;/images/sale/dirk1.png;/images/sale/dirk2.png;/images/sale/dirk3.png;/images/sale/dirk4.png;/images/sale/dirk5.png;/images/sale/dirk6.png;Новый товар от Onegroup;Доставка не осуществляется по Украине;Италия
AAAZZZZ124124;2000059511515151;Сорочка;Мужчинам;Одежда;Блузы и свитера;Кофта;XL;1;2257;2960;7400;5600;76%;Dirk Bikkembergs;Мужчины;Синий;Бабовна 100%;Описание 123;/images/sale/dirk1.png;/images/sale/dirk2.png;/images/sale/dirk3.png;/images/sale/dirk4.png;/images/sale/dirk5.png;/images/sale/dirk6.png;Новый товар от Onegroup;Доставка не осуществляется по Украине;Италия
AAAAZZZ124124;2000189511515151;Тест;Женщинам;Одежда;Блузы и свитера;Кофта;XL;1;2257;2960;7400;5600;76%;Dirk Bikkembergs;Мужчины;Синий;Бабовна 100%;Описание 123;/images/sale/dirk1.png;/images/sale/dirk2.png;/images/sale/dirk3.png;/images/sale/dirk4.png;/images/sale/dirk5.png;/images/sale/dirk6.png;Новый товар от Onegroup;Доставка не осуществляется по Украине;Италия
AAAZZZZ124124;2005189511515151;Сорочка;Женщина;Одежда;Блузы и свитера;Кофта;XL;1;2257;2960;7400;5600;76%;Dirk Bikkembergs;Мужчины;Синий;Бабовна 100%;Описание 123;/images/sale/dirk1.png;/images/sale/dirk2.png;/images/sale/dirk3.png;/images/sale/dirk4.png;/images/sale/dirk5.png;/images/sale/dirk6.png;Новый товар от Onegroup;Доставка не осуществляется по Украине;Италия
AAAZZZZ124124;2000051895515151;Сорочка;Мужчинам;Одежда;Блузы и свитера;Кофта;XL;1;2257;2960;7400;5600;76%;Dirk Bikkembergs;Мужчины;Синий;Бабовна 100%;Описание 123;/images/sale/dirk1.png;/images/sale/dirk2.png;/images/sale/dirk3.png;/images/sale/dirk4.png;/images/sale/dirk5.png;/images/sale/dirk6.png;Новый товар от Onegroup;Доставка не осуществляется по Украине;Италия
AAAAAZZZ24124;2000051811515151;Чтото;Мужчинам;Одежда;Блузы и свитера;Кофта;XL;1;2257;2960;7400;5600;76%;Dirk Bikkembergs;Мужчины;Синий;Бабовна 100%;Описание 123;/images/sale/dirk1.png;/images/sale/dirk2.png;/images/sale/dirk3.png;/images/sale/dirk4.png;/images/sale/dirk5.png;/images/sale/dirk6.png;Новый товар от Onegroup;Доставка не осуществляется по Украине;Италия
AAAAAZZ124124;2000059511515151;Сорочка;Мужчинам;Вещи;Блузы и свитера;Кофта;XL;1;2257;2960;7400;5600;76%;Dirk Bikkembergs;Мужчины;Синий;Бабовна 100%;Описание 123;/images/sale/dirk1.png;/images/sale/dirk2.png;/images/sale/dirk3.png;/images/sale/dirk4.png;/images/sale/dirk5.png;/images/sale/dirk6.png;Новый товар от Onegroup;Доставка не осуществляется по Украине;Италия
AAAZZZ124124;2000089511515151;Сорочка;Мужинам;Одежда;Блузы и свитера;Кофта;XL;1;2257;2960;7400;5600;76%;Dirk Bikkembergs;Мужчины;Синий;Бабовна 100%;Описание 123;/images/sale/dirk1.png;/images/sale/dirk2.png;/images/sale/dirk3.png;/images/sale/dirk4.png;/images/sale/dirk5.png;/images/sale/dirk6.png;Новый товар от Onegroup;Доставка не осуществляется по Украине;Италия
AAAZZZZ124124;2005189511515151;Сорочка;Женщинам;Одежда;Блузы и свитера;Кофта;XL;1;2257;2960;7400;5600;76%;Dirk;Мужчины;Синий;Бабовна 100%;Описание 123;/images/sale/dirk1.png;/images/sale/dirk2.png;/images/sale/dirk3.png;/images/sale/dirk4.png;/images/sale/dirk5.png;/images/sale/dirk6.png;Новый товар от Onegroup;Доставка не осуществляется по Украине;Италия
AAAAAZZZ124;2005189511515151;Еще;Мужчинам;Одежда;Блузы и свитера;Кофта;XL;1;2257;2960;7400;5600;76%;Dirk Bikkembergs;Мужчины;Синий;Бабовна 100%;Описание 123;/images/sale/dirk1.png;/images/sale/dirk2.png;/images/sale/dirk3.png;/images/sale/dirk4.png;/images/sale/dirk5.png;/images/sale/dirk6.png;Новый товар от Onegroup;Доставка не осуществляется по Украине;Италия
AAAAZ124124;2000051891515151;Сорочка;Мужчинам;Одежда;Блузы и свитера;Кофта;XL;1;2257;2960;7400;5600;76%;Bikkembergs;Мужчины;Синий;Бабовна 100%;Описание 123;/images/sale/dirk1.png;/images/sale/dirk2.png;/images/sale/dirk3.png;/images/sale/dirk4.png;/images/sale/dirk5.png;/images/sale/dirk6.png;Новый товар от Onegroup;Доставка не осуществляется по Украине;Италия
AAAAAZZZZ124;2000059511515151;Както;Женщинам;Одежда;Блузы и свитера;Кофта;XL;1;2257;2960;7400;5600;76%;Dirk Bikkembergs;Мужчины;Синий;Бабовна 100%;Описание 123;/images/sale/dirk1.png;/images/sale/dirk2.png;/images/sale/dirk3.png;/images/sale/dirk4.png;/images/sale/dirk5.png;/images/sale/dirk6.png;Новый товар от Onegroup;Доставка не осуществляется по Украине;Италия
AAAAAZ4124;2000059511515151;Сорочка;Женщинам;Одежда;Блузы и свитера;Кофта;XL;1;2257;2960;7400;5600;76%;Dirk Bikkembergs;Мужчины;Синий;Бабовна 100%;Описание 123;/images/sale/dirk1.png;/images/sale/dirk2.png;/images/sale/dirk3.png;/images/sale/dirk4.png;/images/sale/dirk5.png;/images/sale/dirk6.png;Новый товар от Onegroup;Доставка не осуществляется по Украине;Италия
AZZZ124124;2000189511515151;Сорочка;Мужчнам;Одежда;Блузы и свитера;Кофта;XL;1;2257;2960;7400;5600;76%;Dirk Bikkembergs;Мужчины;Синий;Бабовна 100%;Описание 123;/images/sale/dirk1.png;/images/sale/dirk2.png;/images/sale/dirk3.png;/images/sale/dirk4.png;/images/sale/dirk5.png;/images/sale/dirk6.png;Новый товар от Onegroup;Доставка не осуществляется по Украине;Италия
ZZ124124;20189511515151;Сорочка;Мужчинам;Одежда;Блузы и свитера;Кофта;XL;1;2257;2960;7400;5600;76%;Dirk Bikkembergs;Мужчины;Синий;Бабовна 100%;Описание 123;/images/sale/dirk1.png;/images/sale/dirk2.png;/images/sale/dirk3.png;/images/sale/dirk4.png;/images/sale/dirk5.png;/images/sale/dirk6.png;Новый товар от Onegroup;Доставка не осуществляется по Украине;Италия
